date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
7/11/2022,WE12,6.35,0.75,Surface,11:09,41.7023,-83.254,11.66,clear,0.75,23.9,285.4,6.2,21.3,7.31,1167.7,12.1,0.18,0.19,1.68,33.35,1014740,26,55.93,11.2,2.73,3.73,0.296,1.11,0.25,0.8,11.86,2.54
7/11/2022,WE12,,5.6,Bottom,,,,,,,23.8,285.4,6.2,21.3,6.51,1.1,,0.11,<0.1,0.74,18.46,,,,,,,,,,,,
7/11/2022,WE13,8.77,0.75,Surface,9:45,41.7421,-83.1372,14,clear,1.25,23.8,263.7,3.5,41.3,7.65,200.3,6.07,<0.1,<0.1,1.81,10.34,108654,<100,27.83,9.3,0.75,3.59,0.387,0.76,0.14,0.44,6.94,1.68
7/11/2022,WE13,,8,Bottom,,,,,,,23.8,263.9,3.5,42.2,7.47,1.2,,0.12,<0.1,0.82,9.27,,,,,,,,,,,,
7/11/2022,WE16,5.81,0.75,Surface,10:29,41.6581,-83.1464,11.66,mostly clear,1.75,23.9,274.7,1.8,63.5,7.04,328.9,3.66,0.22,<0.1,0.8,5.28,140589,39,27.33,13.72,3.62,20.39,1.261,0.57,0.1,0.53,4.62,1.08
7/18/2022,WE2,5.37,0.75,Surface,12:24,41.7635,-83.3307,3.89,partly cloudy,2,25.1,326.1,1.8,63.4,7.93,957.2,3.67,3.18,0.13,105.13,32.93,483067,152,52.97,15.84,6.2,11.1,0.334,2.25,0.36,1.44,5.9,3.94
7/18/2022,WE2,,4.7,Bottom,,,,,,,24.7,326.6,1.8,63.6,6.47,25.8,,0.94,0.41,104.38,18.81,,,,,,,,,,,,
7/18/2022,WE4,8.27,0.75,Surface,8:45,41.8283,-83.1948,13.02,cloudy,2.75,24,248.8,1.7,68,7.59,233.6,1.7,0.89,<0.1,8.2,10.59,63074,30,20.22,13.16,3.63,12.8,1.988,0.79,0.13,0.35,2.7,1.16
7/18/2022,WE6,2.68,0.75,Surface,11:15,41.706,-83.386,7.78,cloudy,0.75,24.7,376.4,3.8,39,9.9,1161.7,10.4,2.8,0.33,139.3,97.36,231604,231,77.58,14.86,4.54,5.76,1.182,3.84,0.71,2.83,13.04,5.52
7/18/2022,WE8,4.64,0.75,Surface,8:01,41.8354,-83.3602,15.94,cloudy,0.75,25.2,341.5,4.1,36.2,8.21,68.2,23.3,10.28,0.75,403.08,143.46,5258118,3028,125.89,17.13,4.53,6.06,5.163,7.08,1.44,,18.24,12.88
