,station_name,timestamp,lat,lon,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,turbidity,tss,vss,cdom,date
151,WE8,2013-10-15 13:21:00,41.8338,-83.3625,0.25,,3.81,52.17,30.7,36.65,10.35,,10/15/2013
152,WE 2013.16,2013-10-15 11:01:00,41.7042,-83.2571,0.24,,2.09,39.07,21.6,22.45,6.55,,10/15/2013
153,WE 2013.17,2013-10-15 11:40:00,41.6439,-83.1294,0.12,,1.53,16.6,13.5,15.88,3.88,,10/15/2013
154,WE 2013.18,2013-10-15 12:15:00,41.7415,-83.1514,0.2,,11.34,41.05,17.2,14.07,6.2,,10/15/2013
155,WE 2013.19,2013-10-15 10:45:00,41.7166,-83.3072,0.5,,1.12,36.53,23.2,26.2,8.4,,10/15/2013
156,WE2,2013-10-21 12:43:00,41.7638,-83.3298,0.1,,7.8,17.03,13.7,15.5,4.1,,10/21/2013
157,WE4,2013-10-21 13:38:00,41.8261,-83.1965,0.01,,3.81,36.86,20.7,21.57,7.23,,10/21/2013
158,WE6,2013-10-21 13:00:00,41.7144,-83.3712,0.51,,21.66,62.5,23.8,34.0,17.8,,10/21/2013
159,WE8,2013-10-21 14:08:00,41.8347,-83.3626,0.14,,2.35,21.94,15.5,38.2,8.75,,10/21/2013
160,WE2,2014-05-27 12:47:00,41.7624,-83.3312,0.01,,3.15,67.2,5.44,9.53,5.6,,5/27/2014
161,WE4,2014-05-27 12:14:00,41.8266,-83.195,0.01,,0.13,5.67,1.3,2.18,1.24,,5/27/2014
162,WE6,2014-05-27 10:47:00,41.7091,-83.3813,0.12,,1.97,50.62,11.2,18.3,6.67,,5/27/2014
163,WE8,2014-05-27 10:04:00,41.8192,-83.3592,0.01,,0.21,4.31,1.46,2.68,1.24,,5/27/2014
164,WE12,2014-05-27 11:16:00,41.7089,-83.2498,0.01,,0.1,3.86,1.1,1.56,1.09,,5/27/2014
165,WE13,2014-05-27 11:44:00,41.743,-83.1349,0.01,,0.07,3.52,0.76,1.15,1.18,,5/27/2014
166,WE2,2014-06-16 10:35:00,41.7655,-83.3294,0.01,,0.31,10.72,10.1,10.78,1.25,,6/16/2014
167,WE4,2014-06-16 13:30:00,41.825,-83.1923,0.01,,0.44,12.26,1.34,2.73,1.55,,6/16/2014
168,WE6,2014-06-16 11:22:00,41.7154,-83.3821,0.32,,1.82,23.04,11.4,14.37,2.53,,6/16/2014
169,WE8,2014-06-16 14:20:00,41.8343,-83.3604,0.25,,1.45,5.74,3.47,3.82,1.07,,6/16/2014
170,WE12,2014-06-16 12:12:00,41.7041,-83.2561,0.01,,1.06,34.37,11.9,16.0,3.48,,6/16/2014
171,WE13,2014-06-16 12:58:00,41.7419,-83.1392,0.01,,0.21,5.09,3.13,3.67,0.84,,6/16/2014
172,WE2,2014-06-30 10:12:00,41.7628,-83.3301,0.01,,1.69,19.94,4.81,6.63,2.38,,6/30/2014
173,WE4,2014-06-30 12:48:00,41.8258,-83.1956,0.01,,1.59,12.93,1.79,3.13,2.04,,6/30/2014
174,WE6,2014-06-30 11:05:00,41.7167,-83.3834,0.4,,6.57,29.81,8.39,8.65,2.44,,6/30/2014
175,WE8,2014-06-30 13:37:00,41.8334,-83.3634,0.1,,4.49,35.97,8.62,11.58,3.84,,6/30/2014
176,WE12,2014-06-30 11:38:00,41.7032,-83.2575,0.01,,0.63,7.88,4.01,5.0,1.65,,6/30/2014
177,WE13,2014-06-30 12:13:00,41.7415,-83.1372,0.01,,0.81,10.62,1.41,2.98,1.51,,6/30/2014
